src,dst,type
612,4947,REL
613,6826,REL
614,4399,REL
615,5116,REL
616,8926,REL
617,7622,REL
618,9498,REL
619,1378,REL
620,6065,REL
621,3571,REL
622,8804,REL
623,263,REL
624,8401,REL
625,9578,REL
626,1228,REL
627,722,REL
628,9984,REL
629,5803,REL
630,4295,REL
631,2278,REL
632,1682,REL
633,9025,REL
634,1297,REL
635,6751,REL
636,4345,REL
637,2193,REL
638,8547,REL
639,1050,REL
640,4826,REL
641,7163,REL
642,7299,REL
643,5857,REL
644,5996,REL
645,8816,REL
646,9026,REL
647,8037,REL
648,2247,REL
649,4538,REL
650,2824,REL
651,1328,REL
652,6222,REL
653,5461,REL
654,6549,REL
655,7202,REL
656,7091,REL
657,9414,REL
658,5526,REL
659,5919,REL
660,2350,REL
661,7762,REL
662,2646,REL
663,2319,REL
664,3852,REL
665,1574,REL
666,8223,REL
667,7614,REL
668,6236,REL
669,1034,REL
670,1033,REL
671,5418,REL
672,840,REL
673,3432,REL
674,9267,REL
675,9999,REL
676,3488,REL
677,821,REL
678,3625,REL
679,3384,REL
680,6521,REL
681,877,REL
682,276,REL
683,6221,REL
684,6276,REL
685,9152,REL
686,5955,REL
687,4465,REL
688,7842,REL
689,3241,REL
690,6074,REL
691,4150,REL
692,7871,REL
693,2160,REL
694,4100,REL
695,3834,REL
696,797,REL
697,9249,REL
698,9465,REL
699,7954,REL
700,8450,REL
701,5348,REL
702,7246,REL
703,8125,REL
704,2014,REL
705,5466,REL
706,6907,REL
707,5268,REL
708,9670,REL
709,2910,REL
710,6306,REL
711,1896,REL
712,7226,REL
713,6654,REL
714,5488,REL
715,9624,REL
716,5597,REL
717,7539,REL
718,5841,REL
719,1450,REL
720,6505,REL
721,9017,REL
722,779,REL
723,8589,REL
724,2297,REL
725,3496,REL
726,7401,REL
727,9150,REL
728,7742,REL
729,1293,REL
730,9063,REL
731,3453,REL
732,9241,REL
733,6198,REL
734,7256,REL
735,1753,REL
736,4035,REL
737,9610,REL
738,1295,REL
739,8972,REL
740,3224,REL
741,1588,REL
742,3775,REL
743,6304,REL
744,7117,REL
745,2098,REL
746,5213,REL
747,3594,REL
748,39,REL
749,5337,REL
750,8152,REL
751,7100,REL
752,5180,REL
753,4557,REL
754,545,REL
755,8443,REL
756,2150,REL
757,3604,REL
758,6864,REL
759,9963,REL
760,6065,REL
761,8918,REL
762,3693,REL
763,6958,REL
764,9826,REL
765,6099,REL
766,707,REL
767,6654,REL
768,5391,REL
769,3556,REL
770,6976,REL
771,6899,REL
772,3189,REL
773,6503,REL
774,6224,REL
775,1319,REL
776,7352,REL
777,9153,REL
778,9200,REL
779,1268,REL
780,4335,REL
781,6558,REL
782,8248,REL
783,2560,REL
784,2053,REL
785,9333,REL
786,4121,REL
787,7696,REL
788,2413,REL
789,5853,REL
790,1852,REL
791,9061,REL
792,8704,REL
793,7471,REL
794,142,REL
795,3804,REL
796,2877,REL
797,6277,REL
798,5264,REL
799,2999,REL
800,2495,REL
801,8501,REL
802,7488,REL
803,775,REL
804,432,REL
805,6610,REL
806,806,REL
807,8286,REL
808,7393,REL
809,3192,REL
810,7181,REL
811,1725,REL
812,2307,REL
813,7645,REL
814,7642,REL
815,4681,REL
816,3038,REL
817,8235,REL
818,5968,REL
819,8270,REL
820,4846,REL
821,757,REL
822,2819,REL
823,2391,REL
824,1288,REL
825,7812,REL
826,653,REL
827,4561,REL
828,5328,REL
829,3395,REL
830,7055,REL
831,5614,REL
832,7698,REL
833,8502,REL
834,6187,REL
835,3480,REL
836,5907,REL
837,1640,REL
838,9562,REL
839,4341,REL
840,7050,REL
841,3198,REL
842,7396,REL
843,1882,REL
844,4709,REL
845,5156,REL
846,8394,REL
847,2398,REL
848,7296,REL
849,2689,REL
850,3638,REL
851,7808,REL
852,3028,REL
853,8806,REL
854,4031,REL
855,36,REL
856,2010,REL
857,8753,REL
858,9964,REL
859,6173,REL
860,1825,REL
861,365,REL
862,1933,REL
863,9323,REL
864,888,REL
865,3901,REL
866,1960,REL
867,1973,REL
868,5819,REL
869,4373,REL
870,4131,REL
871,6473,REL
872,7119,REL
873,7562,REL
874,6233,REL
875,1656,REL
876,1981,REL
877,2233,REL
878,9246,REL
879,5054,REL
880,5601,REL
881,5844,REL
882,7021,REL
883,911,REL
884,4900,REL
885,4819,REL
886,975,REL
887,6399,REL
888,2330,REL
889,5252,REL
890,7373,REL
891,2964,REL
892,6527,REL
893,7130,REL
894,4711,REL
895,8603,REL
896,2723,REL
897,399,REL
898,5625,REL
899,6024,REL
900,9382,REL
901,4954,REL
902,691,REL
903,7226,REL
904,9168,REL
905,3634,REL
906,3010,REL
907,4591,REL
908,5338,REL
909,1930,REL
910,3599,REL
911,4359,REL
912,9683,REL
913,2875,REL
914,5823,REL
915,4944,REL
916,2284,REL
917,8683,REL
918,7464,REL
919,9857,REL
920,9808,REL
921,7881,REL
922,5969,REL
923,3362,REL
924,1687,REL
925,4197,REL
926,8117,REL
927,8115,REL
928,2465,REL
929,6479,REL
930,7709,REL
931,7783,REL
932,6550,REL
933,300,REL
934,7370,REL
935,7276,REL
936,8860,REL
937,2160,REL
938,795,REL
939,5423,REL
940,1885,REL
941,3285,REL
942,1253,REL
943,793,REL
944,8286,REL
945,9117,REL
946,1809,REL
947,4729,REL
948,6114,REL
949,6200,REL
950,831,REL
951,4009,REL
952,3309,REL
953,9928,REL
954,985,REL
955,1307,REL
956,5170,REL
957,2167,REL
958,5136,REL
959,8193,REL
960,5032,REL
961,5860,REL
962,1709,REL
963,7874,REL
964,2655,REL
965,9380,REL
966,4321,REL
967,5647,REL
968,8919,REL
969,1632,REL
970,9071,REL
971,543,REL
972,7685,REL
973,2999,REL
974,7754,REL
975,6343,REL
976,6425,REL
977,3225,REL
978,8128,REL
979,1610,REL
980,9300,REL
981,4010,REL
982,3337,REL
983,5489,REL
984,2322,REL
985,2167,REL
986,781,REL
987,9573,REL
988,807,REL
989,4242,REL
990,4958,REL
991,8157,REL
992,8601,REL
993,8530,REL
994,6778,REL
995,2340,REL
996,1631,REL
997,1335,REL
998,5060,REL
999,7639,REL
1000,5069,REL
1001,3341,REL
1002,7233,REL
1003,3090,REL
1004,9869,REL
1005,8266,REL
1006,3688,REL
1007,8325,REL
1008,9787,REL
1009,2027,REL
1010,233,REL
1011,2489,REL
1012,5352,REL
1013,2443,REL
1014,4453,REL
1015,8086,REL
1016,9231,REL
1017,3906,REL
1018,5272,REL
1019,2027,REL
1020,8316,REL
1021,6585,REL
1022,1556,REL
1023,8799,REL
1024,8987,REL
1025,3348,REL
1026,4495,REL
1027,5686,REL
1028,3215,REL
1029,116,REL
1030,3358,REL
1031,3561,REL
1032,6283,REL
1033,3766,REL
1034,4010,REL
1035,1945,REL
1036,8143,REL
1037,2407,REL
1038,7402,REL
1039,9422,REL
1040,1437,REL
1041,6599,REL
1042,6789,REL
1043,9633,REL
1044,4048,REL
1045,5301,REL
1046,6317,REL
1047,6354,REL
1048,7582,REL
1049,2065,REL
1050,3751,REL
1051,2923,REL
1052,9985,REL
1053,8230,REL
1054,1071,REL
1055,8048,REL
1056,3319,REL
1057,7323,REL
1058,3442,REL
1059,5822,REL
1060,1458,REL
1061,4847,REL
1062,9391,REL
1063,1464,REL
1064,8347,REL
1065,861,REL
1066,7683,REL
1067,1171,REL
1068,4916,REL
1069,3628,REL
1070,7218,REL
1071,6872,REL
1072,859,REL
1073,1801,REL
1074,9132,REL
1075,2671,REL
1076,9781,REL
1077,4501,REL
1078,7727,REL
1079,1338,REL
1080,2048,REL
1081,9235,REL
1082,8290,REL
1083,9732,REL
1084,3501,REL
1085,9629,REL
1086,5601,REL
1087,4218,REL
1088,6804,REL
1089,2578,REL
1090,3008,REL
1091,374,REL
1092,7663,REL
1093,5357,REL
1094,6554,REL
1095,9521,REL
1096,5628,REL
1097,9510,REL
1098,200,REL
1099,8832,REL
1100,2113,REL
1101,4145,REL
1102,4438,REL
1103,4399,REL
1104,734,REL
1105,2065,REL
1106,145,REL
1107,5499,REL
1108,4241,REL
1109,5261,REL
1110,9289,REL
1111,5257,REL
1112,2491,REL
1113,6132,REL
1114,1696,REL
1115,3338,REL
1116,7816,REL
1117,1199,REL
1118,8538,REL
1119,5938,REL
1120,1863,REL
1121,5627,REL
1122,1160,REL
1123,3817,REL
1124,2684,REL
1125,168,REL
1126,3619,REL
1127,3657,REL
1128,3704,REL
1129,424,REL
1130,4944,REL
1131,7430,REL
1132,9690,REL
1133,8227,REL
1134,9129,REL
1135,4630,REL
1136,4323,REL
1137,4582,REL
1138,9093,REL
1139,9876,REL
1140,7681,REL
1141,1673,REL
1142,8160,REL
1143,4081,REL
1144,3727,REL
1145,583,REL
1146,9869,REL
1147,4887,REL
1148,6861,REL
1149,3690,REL
1150,6961,REL
1151,7236,REL
1152,1440,REL
1153,7223,REL
1154,269,REL
1155,9373,REL
1156,5579,REL
1157,2063,REL
1158,485,REL
1159,4331,REL
1160,1172,REL
1161,1256,REL
1162,5551,REL
1163,5117,REL
1164,1965,REL
1165,6427,REL
1166,6451,REL
1167,4488,REL
1168,6899,REL
1169,9643,REL
1170,2995,REL
1171,3335,REL
1172,4730,REL
1173,9465,REL
1174,6368,REL
1175,5090,REL
1176,3463,REL
1177,7742,REL
1178,5789,REL
1179,589,REL
1180,1353,REL
1181,1952,REL
1182,7845,REL
1183,260,REL
1184,410,REL
1185,3527,REL
1186,2427,REL
1187,351,REL
1188,749,REL
1189,7928,REL
1190,4187,REL
1191,7191,REL
1192,4347,REL
1193,28,REL
1194,6267,REL
1195,3911,REL
1196,5189,REL
1197,4396,REL
1198,1171,REL
1199,579,REL
1200,1125,REL
1201,8136,REL
1202,3718,REL
1203,2015,REL
1204,7150,REL
1205,4297,REL
1206,1266,REL
1207,7728,REL
1208,5749,REL
1209,2609,REL
1210,307,REL
1211,1587,REL
1212,6892,REL
1213,1424,REL
1214,7086,REL
1215,2220,REL
1216,328,REL
1217,9193,REL
1218,6943,REL
1219,7001,REL
1220,8279,REL
1221,6041,REL
1222,602,REL
1223,8350,REL
1224,7911,REL
1225,587,REL
1226,646,REL
1227,8874,REL
1228,7760,REL
1229,5948,REL
1230,7495,REL
1231,2523,REL
1232,1580,REL
1233,1448,REL
1234,7787,REL
1235,2222,REL
1236,1203,REL
1237,590,REL
1238,1127,REL
1239,4966,REL
1240,7055,REL
1241,6387,REL
1242,8879,REL
1243,2094,REL
1244,2072,REL
1245,1388,REL
1246,9920,REL
1247,9112,REL
1248,9470,REL
1249,1196,REL
1250,9729,REL
1251,32,REL
1252,9650,REL
1253,4342,REL
1254,8620,REL
1255,1120,REL
1256,3514,REL
1257,8670,REL
1258,9143,REL
1259,9494,REL
1260,2296,REL
1261,8922,REL
1262,1265,REL
1263,1685,REL
1264,435,REL
1265,3988,REL
1266,3355,REL
1267,4971,REL
1268,2430,REL
1269,8449,REL
1270,632,REL
1271,8326,REL
1272,9569,REL
1273,852,REL
1274,7660,REL
1275,3832,REL
1276,3776,REL
1277,4764,REL
1278,8862,REL
1279,6592,REL
1280,8647,REL
1281,885,REL
1282,6800,REL
1283,9047,REL
1284,8186,REL
1285,506,REL
1286,6877,REL
1287,1126,REL
1288,4569,REL
1289,2013,REL
1290,25,REL
1291,2078,REL
1292,6963,REL
1293,5636,REL
1294,9088,REL
1295,492,REL
1296,9215,REL
1297,2467,REL
1298,4698,REL
1299,5100,REL
1300,9816,REL
1301,9695,REL
1302,212,REL
1303,4961,REL
1304,4941,REL
1305,8099,REL
1306,7445,REL
1307,8168,REL
1308,8945,REL
1309,8563,REL
1310,1338,REL
1311,2319,REL
1312,296,REL
1313,2239,REL
1314,3309,REL
1315,7911,REL
1316,9633,REL
1317,9510,REL
1318,8131,REL
1319,4495,REL
1320,6546,REL
1321,7635,REL
1322,379,REL
1323,1165,REL
1324,2814,REL
1325,869,REL
1326,5391,REL
1327,8188,REL
1328,728,REL
1329,5106,REL
1330,8183,REL
1331,2542,REL
1332,1568,REL
1333,6280,REL
1334,8622,REL
1335,6920,REL
1336,5187,REL
1337,2424,REL
1338,5097,REL
1339,2906,REL
1340,8364,REL
1341,1322,REL
1342,8240,REL
1343,7395,REL
1344,1513,REL
1345,7616,REL
1346,1476,REL
1347,9027,REL
1348,9470,REL
1349,3078,REL
1350,5735,REL
1351,7371,REL
1352,3770,REL
1353,7754,REL
1354,1069,REL
1355,6424,REL
1356,522,REL
1357,9889,REL
1358,3370,REL
1359,189,REL
1360,978,REL
1361,4770,REL
1362,9158,REL
1363,4100,REL
1364,2480,REL
1365,5938,REL
1366,5160,REL
1367,6806,REL
1368,9492,REL
1369,159,REL
1370,1799,REL
1371,2519,REL
1372,7338,REL
1373,9359,REL
1374,1911,REL
1375,4724,REL
1376,1696,REL
1377,1521,REL
1378,8349,REL
1379,1797,REL
1380,6724,REL
1381,9678,REL
1382,2243,REL
1383,9442,REL
1384,8391,REL
1385,1268,REL
1386,4772,REL
1387,2435,REL
1388,3621,REL
1389,6665,REL
1390,8998,REL
1391,2480,REL
1392,5547,REL
1393,4631,REL
1394,9489,REL
1395,5952,REL
1396,3206,REL
1397,8643,REL
1398,6217,REL
1399,9313,REL
1400,223,REL
1401,4760,REL
1402,981,REL
1403,3891,REL
1404,2195,REL
1405,3860,REL
1406,4437,REL
1407,1774,REL
1408,325,REL
1409,5355,REL
1410,7758,REL
1411,5887,REL
1412,3205,REL
1413,9712,REL
1414,112,REL
1415,8065,REL
1416,5273,REL
1417,9844,REL
1418,5032,REL
1419,1510,REL
1420,8239,REL
1421,1265,REL
1422,7602,REL
1423,6,REL
1424,1581,REL
1425,1535,REL
1426,7705,REL
1427,1967,REL
1428,5182,REL
1429,9950,REL
1430,5130,REL
1431,3798,REL
1432,6998,REL
1433,4358,REL
1434,7550,REL
1435,4997,REL
1436,2926,REL
1437,584,REL
1438,9982,REL
1439,9453,REL
1440,2872,REL
1441,1390,REL
1442,6234,REL
1443,8326,REL
1444,9047,REL
1445,2181,REL
1446,1335,REL
1447,6405,REL
1448,583,REL
1449,2928,REL
1450,5077,REL
1451,8636,REL
1452,968,REL
1453,716,REL
1454,8187,REL
1455,4481,REL
1456,4639,REL
1457,9404,REL
1458,4850,REL
1459,6464,REL
1460,825,REL
1461,4743,REL
1462,542,REL
1463,4883,REL
1464,3696,REL
1465,1358,REL
1466,1869,REL
1467,1609,REL
1468,9203,REL
1469,7320,REL
1470,7924,REL
1471,7301,REL
1472,7852,REL
1473,557,REL
1474,3850,REL
1475,1448,REL
1476,9580,REL
1477,3390,REL
1478,3064,REL
1479,5756,REL
1480,6617,REL
1481,6344,REL
1482,346,REL
1483,6829,REL
1484,8799,REL
1485,253,REL
1486,9446,REL
1487,5081,REL
1488,410,REL
1489,9763,REL
1490,8143,REL
1491,5940,REL
1492,7683,REL
1493,2419,REL
1494,9799,REL
1495,4798,REL
1496,5990,REL
1497,8870,REL
1498,570,REL
1499,7416,REL
1500,3254,REL
1501,8249,REL
1502,9154,REL
1503,7208,REL
1504,4143,REL
1505,4264,REL
1506,5483,REL
1507,6103,REL
1508,3460,REL
1509,6093,REL
1510,8253,REL
1511,5131,REL
1512,2126,REL
1513,2683,REL
1514,5675,REL
1515,7603,REL
1516,1197,REL
1517,460,REL
1518,8165,REL
1519,6766,REL
1520,1562,REL
1521,9467,REL
1522,3528,REL
1523,4402,REL
1524,172,REL
1525,9169,REL
1526,4635,REL
1527,121,REL
1528,6842,REL
1529,2698,REL
1530,4885,REL
1531,4592,REL
1532,6485,REL
1533,8797,REL
1534,2043,REL
1535,7068,REL
1536,9189,REL
1537,7458,REL
1538,2073,REL
1539,1093,REL
1540,8288,REL
1541,6471,REL
1542,3034,REL
1543,1262,REL
1544,6307,REL
1545,851,REL
1546,8581,REL
1547,9187,REL
1548,9084,REL
1549,4402,REL
1550,3562,REL
1551,3912,REL
1552,4803,REL
1553,9091,REL
1554,5606,REL
1555,9789,REL
1556,1863,REL
1557,498,REL
1558,5426,REL
1559,7737,REL
1560,2449,REL
1561,653,REL
1562,7861,REL
1563,599,REL
1564,6805,REL
1565,9853,REL
1566,7468,REL
1567,3217,REL
1568,3719,REL
1569,6737,REL
1570,8509,REL
1571,8451,REL
1572,2625,REL
1573,4011,REL
1574,1378,REL
1575,9592,REL
1576,8697,REL
1577,7591,REL
1578,4037,REL
1579,5420,REL
1580,5041,REL
1581,8725,REL
1582,7356,REL
1583,3782,REL
1584,8876,REL
1585,5758,REL
1586,4560,REL
1587,9743,REL
1588,3387,REL
1589,6856,REL
1590,1951,REL
1591,3331,REL
1592,6956,REL
1593,9320,REL
1594,5726,REL
1595,2454,REL
1596,4567,REL
1597,4047,REL
1598,357,REL
1599,148,REL
1600,3955,REL
1601,616,REL
1602,6640,REL
1603,1357,REL
1604,3264,REL
1605,2532,REL
1606,661,REL
1607,4188,REL
1608,3025,REL
1609,2046,REL
1610,7326,REL
1611,8227,REL
1612,7892,REL
1613,472,REL
1614,7660,REL
1615,8769,REL
1616,2842,REL
1617,2404,REL
1618,9517,REL
1619,8585,REL
1620,3386,REL
1621,8617,REL
1622,2737,REL
1623,4154,REL
1624,6807,REL
1625,2277,REL
1626,2636,REL
1627,7863,REL
1628,1592,REL
1629,3514,REL
1630,4696,REL
1631,1715,REL
1632,6373,REL
1633,1856,REL
1634,5710,REL
1635,7947,REL
1636,8641,REL
1637,1148,REL
1638,7402,REL
1639,7614,REL
1640,3924,REL
1641,8788,REL
1642,7943,REL
1643,7113,REL
1644,2110,REL
1645,9419,REL
1646,3557,REL
1647,1235,REL
1648,1198,REL
1649,8636,REL
1650,9850,REL
1651,8255,REL
1652,3282,REL
1653,3512,REL
1654,7460,REL
1655,1555,REL
1656,8799,REL
1657,8907,REL
1658,3895,REL
1659,4761,REL
1660,3904,REL
1661,7159,REL
1662,9640,REL
1663,3609,REL
1664,9599,REL
1665,8870,REL
1666,2877,REL
1667,7091,REL
1668,4400,REL
1669,1303,REL
1670,3250,REL
1671,1339,REL
1672,5216,REL
1673,8284,REL
1674,52,REL
1675,7737,REL
1676,8481,REL
1677,238,REL
1678,6619,REL
1679,5219,REL
1680,7206,REL
1681,8414,REL
1682,2562,REL
